Svar,Kursens innehall motsvarade beskrivningen,Undervisningen holl god kvalitet,Materialet var lattillgangligt,Arbetsbelastningen var rimlig,Jag fick tillrackligt med aterkoppling,Kursen forberedde mig for arbetslivet,Vad fungerade bra,Vad kan forbattras
Svar 01,2,3,4,4,5,4,Gillade att materialet fanns kvar efterat sa man kunde repetera.,"Deadlines kom for tatt i slutet, tre uppgifter samma vecka."
Svar 02,5,3,5,3,4,3,Uppgifterna kandes relevanta for det man faktiskt gor.,Svart att veta vilken version av materialet som gallde.
Svar 03,4,2,4,2,3,5,Uppgifterna kandes relevanta for det man faktiskt gor.,Zip-filen gick inte att oppna pa Mac forsta veckan.
Svar 04,3,5,4,2,5,5,Uppgifterna kandes relevanta for det man faktiskt gor.,Instruktionerna till inlamning 2 var motstridiga.
Svar 05,4,3,4,1,2,2,Uppgifterna kandes relevanta for det man faktiskt gor.,Instruktionerna till inlamning 2 var motstridiga.
Svar 06,5,3,4,3,4,4,Gillade att materialet fanns kvar efterat sa man kunde repetera.,Instruktionerna till inlamning 2 var motstridiga.
Svar 07,4,4,5,1,4,3,Grupparbetet fungerade over forvantan.,Onskar mer aterkoppling pa den forsta inlamningen.
Svar 08,4,4,4,2,5,4,Lararen svarade snabbt pa mejl.,Vissa lankar i kursmaterialet var trasiga.
Svar 09,3,5,5,4,4,5,Genomgangarna var tydliga och det gick att stalla fragor.,Svart att veta vilken version av materialet som gallde.
Svar 10,4,3,3,3,5,4,Uppgifterna kandes relevanta for det man faktiskt gor.,Instruktionerna till inlamning 2 var motstridiga.
Svar 11,4,5,5,1,4,4,Gillade att materialet fanns kvar efterat sa man kunde repetera.,Svart att veta vilken version av materialet som gallde.
Svar 12,3,3,5,2,5,5,Genomgangarna var tydliga och det gick att stalla fragor.,"Deadlines kom for tatt i slutet, tre uppgifter samma vecka."
Svar 13,5,5,2,3,5,2,Gillade att materialet fanns kvar efterat sa man kunde repetera.,Otydligt vad som kravdes for hogre betyg.
Svar 14,3,5,2,2,5,5,Bra tempo i borjan av kursen.,Videomaterialet fungerade inte i Moodle pa mobilen.
Svar 15,4,4,5,2,4,5,Grupparbetet fungerade over forvantan.,"Deadlines kom for tatt i slutet, tre uppgifter samma vecka."
Svar 16,3,3,4,3,4,5,Bra tempo i borjan av kursen.,Kursplanen sa 3 sp men arbetsbordan kandes som 5.
Svar 17,3,4,3,4,5,4,Lararen svarade snabbt pa mejl.,Otydligt vad som kravdes for hogre betyg.
Svar 18,4,5,5,2,3,2,Genomgangarna var tydliga och det gick att stalla fragor.,Videomaterialet fungerade inte i Moodle pa mobilen.
Svar 19,5,4,4,2,4,3,Genomgangarna var tydliga och det gick att stalla fragor.,Otydligt vad som kravdes for hogre betyg.
Svar 20,4,4,5,1,4,5,"Exemplen var moderna, inte fran 2015.",Videomaterialet fungerade inte i Moodle pa mobilen.
Svar 21,4,2,3,3,4,4,"Exemplen var moderna, inte fran 2015.",Instruktionerna till inlamning 2 var motstridiga.
Svar 22,3,4,4,3,3,4,Grupparbetet fungerade over forvantan.,Kursplanen sa 3 sp men arbetsbordan kandes som 5.
Svar 23,2,4,5,3,5,3,Bra tempo i borjan av kursen.,Videomaterialet fungerade inte i Moodle pa mobilen.
Svar 24,2,4,2,1,3,3,Bra att vi fick bygga nagot pa riktigt istallet for bara lasa.,Svart att veta vilken version av materialet som gallde.
